Theta [deg.],Phi   [deg.],Abs(RCS )[dB(m^2)],Abs(Theta)[dB(m^2)],Phase(Theta)[deg.],Abs(Phi  )[dB(m^2)],Phase(Phi  )[deg.],Ax.Ratio[dB    ]
0,0,-7.46E+01,-7.46E+01,93.042,-2.00E+02,358.832,4.00E+01
3,0,-8.86E+01,-8.86E+01,282.631,-2.00E+02,326.339,4.00E+01
6,0,-9.43E+01,-9.43E+01,169.696,-2.00E+02,161.459,4.00E+01
9,0,-1.02E+02,-1.02E+02,123.261,-2.00E+02,333.234,4.00E+01
12,0,-9.83E+01,-9.83E+01,355.881,-2.00E+02,145.672,4.00E+01
15,0,-9.90E+01,-9.90E+01,185.868,-2.00E+02,299.887,4.00E+01
18,0,-1.01E+02,-1.01E+02,2.242,-2.00E+02,252.703,4.00E+01
21,0,-1.02E+02,-1.02E+02,171.848,-2.00E+02,73.479,4.00E+01
24,0,-1.02E+02,-1.02E+02,341.783,-2.00E+02,252.935,4.00E+01
27,0,-1.03E+02,-1.03E+02,151.995,-2.00E+02,99.924,4.00E+01
30,0,-1.04E+02,-1.04E+02,318.443,-2.00E+02,280.504,4.00E+01
33,0,-1.06E+02,-1.06E+02,118.501,-2.00E+02,97.256,4.00E+01
36,0,-1.10E+02,-1.10E+02,262.021,-2.00E+02,312.945,4.00E+01
39,0,-1.10E+02,-1.10E+02,35.19,-2.00E+02,111.052,4.00E+01
42,0,-1.10E+02,-1.10E+02,179.789,-2.00E+02,16.916,4.00E+01
45,0,-1.10E+02,-1.10E+02,326.181,-2.00E+02,70.203,4.00E+01
48,0,-1.11E+02,-1.11E+02,111.173,-2.00E+02,285.649,4.00E+01
51,0,-1.12E+02,-1.12E+02,256.915,-2.00E+02,167.99,4.00E+01
54,0,-1.14E+02,-1.14E+02,42.333,-2.00E+02,339.357,4.00E+01
57,0,-1.17E+02,-1.17E+02,175.932,-2.00E+02,169.846,4.00E+01
60,0,-1.18E+02,-1.18E+02,294.49,-2.00E+02,8.57,4.00E+01
63,0,-1.17E+02,-1.17E+02,73.846,-2.00E+02,196.06,4.00E+01
66,0,-1.17E+02,-1.17E+02,227.114,-2.00E+02,104.286,4.00E+01
69,0,-1.21E+02,-1.21E+02,16.684,-2.00E+02,264.26,4.00E+01
72,0,-1.25E+02,-1.25E+02,135.811,-2.00E+02,9.135,4.00E+01
75,0,-1.24E+02,-1.24E+02,265.292,-2.00E+02,67.911,4.00E+01
78,0,-1.25E+02,-1.25E+02,71.649,-2.00E+02,34.574,4.00E+01
81,0,-1.32E+02,-1.32E+02,281.041,-2.00E+02,151.988,4.00E+01
84,0,-1.29E+02,-1.29E+02,165.892,-2.00E+02,68.448,4.00E+01
87,0,-1.28E+02,-1.28E+02,333.037,-2.00E+02,208.732,4.00E+01
90,0,-1.27E+02,-1.27E+02,75.219,-2.00E+02,106.373,4.00E+01
93,0,-1.20E+02,-1.20E+02,212.049,-2.00E+02,279.63,4.00E+01
96,0,-1.16E+02,-1.16E+02,12.576,-2.00E+02,163.885,4.00E+01
99,0,-1.15E+02,-1.15E+02,173.263,-2.00E+02,28.125,4.00E+01
102,0,-1.16E+02,-1.16E+02,325.355,-2.00E+02,205.457,4.00E+01
105,0,-1.17E+02,-1.17E+02,105.993,-2.00E+02,25.485,4.00E+01
108,0,-1.17E+02,-1.17E+02,251.008,-2.00E+02,227.111,4.00E+01
111,0,-1.17E+02,-1.17E+02,46.171,-2.00E+02,38.54,4.00E+01
114,0,-1.20E+02,-1.20E+02,200.929,-2.00E+02,235.349,4.00E+01
117,0,-1.24E+02,-1.24E+02,336.69,-2.00E+02,126.798,4.00E+01
120,0,-1.23E+02,-1.23E+02,76.334,-2.00E+02,13.703,4.00E+01
123,0,-1.20E+02,-1.20E+02,221.385,-2.00E+02,213.165,4.00E+01
126,0,-1.21E+02,-1.21E+02,17.114,-2.00E+02,357.59,4.00E+01
129,0,-1.29E+02,-1.29E+02,115.356,-2.00E+02,132.388,4.00E+01
132,0,-1.22E+02,-1.22E+02,218.034,-2.00E+02,60.159,4.00E+01
135,0,-1.23E+02,-1.23E+02,18.26,-2.00E+02,21.155,4.00E+01
138,0,-1.31E+02,-1.31E+02,211.498,-2.00E+02,184.406,4.00E+01
141,0,-1.33E+02,-1.33E+02,116.209,-2.00E+02,25.031,4.00E+01
144,0,-1.23E+02,-1.23E+02,25.991,-2.00E+02,98.753,4.00E+01
147,0,-1.20E+02,-1.20E+02,216.452,-2.00E+02,29.184,4.00E+01
150,0,-1.31E+02,-1.31E+02,234.658,-2.00E+02,50.961,4.00E+01
153,0,-1.23E+02,-1.23E+02,42.088,-2.00E+02,56.258,4.00E+01
156,0,-1.27E+02,-1.27E+02,189.807,-2.00E+02,333.387,4.00E+01
159,0,-1.19E+02,-1.19E+02,16.179,-2.00E+02,51.55,4.00E+01
162,0,-1.31E+02,-1.31E+02,67.925,-2.00E+02,125.871,4.00E+01
165,0,-1.22E+02,-1.22E+02,236.782,-2.00E+02,37.75,4.00E+01
168,0,-1.22E+02,-1.22E+02,44.548,-2.00E+02,207.882,4.00E+01
171,0,-1.19E+02,-1.19E+02,207.029,-2.00E+02,347.292,4.00E+01
174,0,-1.27E+02,-1.27E+02,219.944,-2.00E+02,130.9,4.00E+01
177,0,-1.25E+02,-1.25E+02,70.909,-2.00E+02,307.447,4.00E+01
180,0,-1.14E+02,-1.14E+02,207.39,-2.00E+02,116.967,4.00E+01
0,3,-7.46E+01,-7.47E+01,93.042,-1.00E+02,273.042,4.00E+01
3,3,-8.86E+01,-8.86E+01,282.685,-1.14E+02,102.587,4.00E+01
6,3,-9.44E+01,-9.44E+01,170.121,-1.20E+02,350.084,4.00E+01
9,3,-1.02E+02,-1.02E+02,124.228,-1.28E+02,303.964,4.00E+01
12,3,-9.83E+01,-9.83E+01,356.905,-1.24E+02,177.51,4.00E+01
15,3,-9.90E+01,-9.90E+01,187.287,-1.25E+02,7.787,4.00E+01
18,3,-1.01E+02,-1.01E+02,4.001,-1.27E+02,183.6,4.00E+01
21,3,-1.02E+02,-1.02E+02,173.502,-1.28E+02,351.914,4.00E+01
24,3,-1.02E+02,-1.02E+02,343.139,-1.28E+02,161.766,4.00E+01
27,3,-1.03E+02,-1.03E+02,153.302,-1.28E+02,333.212,4.00E+01
30,3,-1.04E+02,-1.04E+02,320.099,-1.29E+02,142.359,4.00E+01
33,3,-1.06E+02,-1.06E+02,120.809,-1.32E+02,305.887,4.00E+01
36,3,-1.10E+02,-1.10E+02,265.754,-1.35E+02,91.822,4.00E+01
39,3,-1.10E+02,-1.10E+02,38.954,-1.36E+02,217.329,4.00E+01
42,3,-1.10E+02,-1.10E+02,182.712,-1.35E+02,359.044,4.00E+01
45,3,-1.10E+02,-1.10E+02,329.046,-1.34E+02,150.072,4.00E+01
48,3,-1.11E+02,-1.11E+02,114.219,-1.35E+02,302.405,4.00E+01
51,3,-1.12E+02,-1.12E+02,260.19,-1.37E+02,94.976,3.61E+01
54,3,-1.14E+02,-1.14E+02,46.214,-1.39E+02,244.533,3.50E+01
57,3,-1.18E+02,-1.18E+02,181.766,-1.43E+02,21.533,3.47E+01
60,3,-1.19E+02,-1.19E+02,299.571,-1.45E+02,136.777,3.65E+01
63,3,-1.17E+02,-1.17E+02,76.818,-1.42E+02,265.16,4.00E+01
66,3,-1.17E+02,-1.17E+02,229.91,-1.41E+02,55.96,4.00E+01
69,3,-1.21E+02,-1.21E+02,21.001,-1.41E+02,215.735,3.19E+01
72,3,-1.26E+02,-1.26E+02,142.495,-1.43E+02,11.886,1.96E+01
75,3,-1.24E+02,-1.24E+02,268.267,-1.45E+02,156.549,2.13E+01
78,3,-1.25E+02,-1.25E+02,74.25,-1.46E+02,301.569,2.31E+01
81,3,-1.31E+02,-1.31E+02,281.098,-1.46E+02,105.169,3.82E+01
84,3,-1.29E+02,-1.29E+02,160.147,-1.47E+02,289.95,2.01E+01
87,3,-1.29E+02,-1.29E+02,328.417,-1.47E+02,118.799,2.50E+01
90,3,-1.27E+02,-1.27E+02,73.976,-1.48E+02,292.775,2.49E+01
93,3,-1.20E+02,-1.20E+02,211.714,-1.49E+02,73.433,3.22E+01
96,3,-1.16E+02,-1.17E+02,12.153,-1.43E+02,208.411,3.77E+01
99,3,-1.16E+02,-1.16E+02,172.648,-1.37E+02,11.626,3.10E+01
102,3,-1.17E+02,-1.17E+02,323.712,-1.33E+02,186.411,1.92E+01
105,3,-1.17E+02,-1.18E+02,102.392,-1.30E+02,7.623,1.24E+01
108,3,-1.17E+02,-1.17E+02,247.761,-1.29E+02,195.982,1.43E+01
111,3,-1.17E+02,-1.18E+02,44.155,-1.29E+02,33.309,2.69E+01
114,3,-1.20E+02,-1.20E+02,198.53,-1.31E+02,240.877,1.47E+01
117,3,-1.24E+02,-1.25E+02,325.743,-1.34E+02,107.37,1.40E+01
120,3,-1.22E+02,-1.22E+02,77.32,-1.35E+02,350.142,1.24E+01
123,3,-1.20E+02,-1.20E+02,225.224,-1.35E+02,218.085,3.31E+01
126,3,-1.22E+02,-1.23E+02,14.239,-1.40E+02,89.178,1.78E+01
129,3,-1.27E+02,-1.28E+02,104.821,-1.40E+02,20.35,1.27E+01
132,3,-1.22E+02,-1.22E+02,220.681,-1.39E+02,240.279,2.66E+01
135,3,-1.24E+02,-1.24E+02,16.294,-1.54E+02,126.412,3.09E+01
138,3,-1.33E+02,-1.33E+02,208.392,-1.49E+02,94.489,1.70E+01
141,3,-1.33E+02,-1.33E+02,123.937,-1.52E+02,22.308,1.90E+01
144,3,-1.23E+02,-1.23E+02,26.425,-1.47E+02,359.841,3.16E+01
147,3,-1.20E+02,-1.20E+02,215.939,-1.42E+02,219.445,4.00E+01
150,3,-1.31E+02,-1.31E+02,232.821,-1.53E+02,173.535,2.39E+01
153,3,-1.23E+02,-1.23E+02,40.189,-1.49E+02,52.52,3.92E+01
156,3,-1.28E+02,-1.28E+02,190.65,-1.59E+02,102.262,3.15E+01
159,3,-1.19E+02,-1.19E+02,15.577,-1.45E+02,7.163,4.00E+01
162,3,-1.31E+02,-1.31E+02,65.204,-1.55E+02,27.435,2.87E+01
165,3,-1.21E+02,-1.21E+02,235.573,-1.47E+02,233.29,4.00E+01
168,3,-1.22E+02,-1.22E+02,44.478,-1.49E+02,38.105,4.00E+01
171,3,-1.19E+02,-1.19E+02,206.653,-1.45E+02,201.649,4.00E+01
174,3,-1.27E+02,-1.27E+02,219.98,-1.51E+02,222.198,4.00E+01
177,3,-1.25E+02,-1.25E+02,70.782,-1.50E+02,71.116,4.00E+01
180,3,-1.14E+02,-1.14E+02,207.39,-1.40E+02,207.38,4.00E+01
0,6,-7.46E+01,-7.47E+01,93.042,-9.43E+01,273.042,4.00E+01
3,6,-8.88E+01,-8.88E+01,282.848,-1.08E+02,102.735,4.00E+01
6,6,-9.45E+01,-9.45E+01,171.431,-1.14E+02,351.375,4.00E+01
9,6,-1.02E+02,-1.02E+02,127.067,-1.22E+02,307.015,4.00E+01
12,6,-9.81E+01,-9.82E+01,359.906,-1.18E+02,180.668,4.00E+01
15,6,-9.89E+01,-9.90E+01,191.499,-1.19E+02,12.283,4.00E+01
18,6,-1.01E+02,-1.01E+02,9.355,-1.21E+02,189.325,4.00E+01
21,6,-1.02E+02,-1.02E+02,178.702,-1.22E+02,357.225,4.00E+01
24,6,-1.03E+02,-1.03E+02,347.404,-1.22E+02,165.757,4.00E+01
27,6,-1.03E+02,-1.03E+02,157.28,-1.22E+02,336.733,4.00E+01
30,6,-1.04E+02,-1.04E+02,324.915,-1.23E+02,146.516,4.00E+01
33,6,-1.06E+02,-1.06E+02,127.348,-1.25E+02,311.819,4.00E+01
36,6,-1.09E+02,-1.09E+02,276.359,-1.29E+02,103.413,3.79E+01
39,6,-1.11E+02,-1.11E+02,50.861,-1.31E+02,231.991,4.00E+01
42,6,-1.11E+02,-1.11E+02,191.933,-1.30E+02,7.938,4.00E+01
45,6,-1.11E+02,-1.11E+02,337.732,-1.29E+02,156.851,4.00E+01
48,6,-1.12E+02,-1.12E+02,123.15,-1.29E+02,309.452,3.70E+01
51,6,-1.13E+02,-1.13E+02,269.637,-1.31E+02,103.094,3.07E+01
54,6,-1.14E+02,-1.14E+02,57.361,-1.33E+02,255.357,2.88E+01
57,6,-1.18E+02,-1.18E+02,198.901,-1.37E+02,40.916,2.74E+01
60,6,-1.21E+02,-1.21E+02,317.415,-1.41E+02,160.105,2.86E+01
63,6,-1.19E+02,-1.19E+02,86.381,-1.39E+02,273.118,3.83E+01
66,6,-1.19E+02,-1.19E+02,238.028,-1.36E+02,60.449,4.00E+01
69,6,-1.21E+02,-1.22E+02,32.807,-1.36E+02,219.647,3.30E+01
72,6,-1.27E+02,-1.27E+02,164.505,-1.37E+02,17.83,1.56E+01
75,6,-1.27E+02,-1.27E+02,278.378,-1.39E+02,167.81,1.26E+01
78,6,-1.27E+02,-1.27E+02,81.96,-1.40E+02,314.81,1.51E+01
81,6,-1.30E+02,-1.31E+02,285.129,-1.40E+02,114.649,2.59E+01
84,6,-1.29E+02,-1.30E+02,148.227,-1.40E+02,291.211,1.56E+01
87,6,-1.29E+02,-1.29E+02,319.192,-1.40E+02,111.859,1.84E+01
90,6,-1.28E+02,-1.28E+02,75.744,-1.40E+02,280.713,1.97E+01
93,6,-1.22E+02,-1.22E+02,212.866,-1.38E+02,72.65,2.05E+01
96,6,-1.18E+02,-1.18E+02,11.997,-1.35E+02,224.439,2.18E+01
99,6,-1.18E+02,-1.18E+02,170.959,-1.31E+02,28.17,1.76E+01
102,6,-1.19E+02,-1.20E+02,317.161,-1.28E+02,200.749,9.92E+00
105,6,-1.19E+02,-1.20E+02,89.78,-1.27E+02,19.292,8.04E+00
108,6,-1.18E+02,-1.18E+02,237.581,-1.27E+02,203.919,1.46E+01
111,6,-1.19E+02,-1.19E+02,36.611,-1.29E+02,36.066,4.00E+01
114,6,-1.22E+02,-1.23E+02,187.966,-1.32E+02,237.707,1.23E+01
117,6,-1.25E+02,-1.25E+02,299.285,-1.38E+02,114.55,3.58E+01
120,6,-1.21E+02,-1.21E+02,77.704,-1.36E+02,17.035,1.64E+01
123,6,-1.21E+02,-1.21E+02,233.406,-1.35E+02,228.295,3.51E+01
126,6,-1.27E+02,-1.27E+02,1.954,-1.46E+02,94.818,1.91E+01
129,6,-1.24E+02,-1.25E+02,88.554,-1.37E+02,47.318,1.66E+01
132,6,-1.22E+02,-1.23E+02,225.432,-1.37E+02,238.646,2.77E+01
